char,pinyin,count
并,bing4,71
宣,xuan1,71
往,wang3,71
闲,xian2,71
附,fu4,71
俗,su2,71
妇,fu4,71
欢,huan1,71
舍,she4,71
柳,liu3,71
敬,jing4,71
拍,pai1,71
荡,dang4,70
与,yu3,70
霍,huo4,70
君,jun1,70
智,zhi4,70
灭,mie4,70
逆,ni4,70
欲,yu4,70
播,bo1,70
残,can2,70
唱,chang4,69
搭,da1,69
朗,lang3,69
堡,bao3,69
付,fu4,69
钢,gang1,69
箱,xiang1,69
融,rong2,69
凤,feng4,69
各,ge4,69
床,chuang2,69
序,xu4,68
右,you4,68
愿,yuan4,68
盟,meng2,68
供,"gong1,gong4",68
评,ping2,68
厂,chang3,68
瑞,rui4,68
孙,sun1,68
迹,ji4,68
突,tu1,68
减,jian3,68
村,cun1,67
吴,wu2,67
杜,du4,67
亡,wang2,67
炸,zha4,67
餐,can1,67
拖,tuo1,67
更,geng1,66
艺,yi4,66
肌,ji1,66
兹,"zi1,ci2",66
植,zhi2,66
避,bi4,66
厚,hou4,66
觉,jue2,66
穿,chuan1,66
闭,bi4,66
闪,shan3,66
冠,guan1,66
庭,ting2,66
研,yan2,66
谱,pu3,66
最,zui4,66
童,tong2,66
腹,fu4,65
怒,nu4,65
税,shui4,65
猫,mao1,65
穷,qiong2,65
挂,gua4,65
惠,hui4,65
完,wan2,65
策,ce4,65
坏,huai4,64
续,xu4,64
还,huan2,64
腺,xian4,64
疑,yi2,64
析,xi1,64
囊,nang1,64
灾,zai1,64
洪,hong2,64
汽,qi4,64
帕,pa4,64
棒,bang4,64
拼,pin1,64
纤,xian1,64
符,fu2,64
围,wei2,64
休,xiu1,64
拔,ba2,64
夹,jia1,63
辛,xin1,63
域,yu4,63
巨,ju4,63
弦,xian2,63
责,ze2,63
免,mian3,63
互,hu4,63
讯,xun4,63
访,fang3,63
糊,"hu1,hu2",62
份,fen4,62
斑,ban1,62
停,ting2,62
批,pi1,62
疏,shu1,62
锅,guo1,62
触,chu4,62
响,xiang3,62
许,xu3,62
默,mo4,62
荒,huang1,62
项,xiang4,62
尺,chi3,62
乙,yi3,62
掌,zhang3,62
废,fei4,62
冬,dong1,62
庄,zhuang1,62
优,you1,62
材,cai2,61
旅,lu:3,61
弗,fu2,61
魔,mo2,61
逃,tao2,61
途,tu2,61
烈,lie4,61
央,yang1,61
丘,qiu1,61
梦,meng4,61
娘,"niang2,niang5",60
均,jun1,60
倾,qing1,60
峡,xia2,60
恐,kong3,60
例,li4,60
燃,ran2,60
桑,sang1,60
误,wu4,60
弱,ruo4,60
介,jie4,60
获,huo4,60
鹿,lu4,60
孤,gu1,60
岭,ling3,60
吹,chui1,60
杨,yang2,60
季,ji4,60
今,jin1,60
奉,feng4,60
乘,cheng2,59
晚,wan3,59
腐,"fu5,fu3",59
贸,mao4,59
我,wo3,59
杰,jie2,59
疗,liao2,59
请,qing3,59
佳,jia1,59
轴,zhou2,59
韩,han2,59
潜,qian2,59
讲,jiang3,59
幕,mu4,59
晶,jing1,58
粗,cu1,58
哀,ai1,58
扣,kou4,58
窝,wo1,58
乎,hu1,58
即,ji2,58
俄,e2,58
执,zhi2,58
叫,jiao4,58
函,han2,58
顾,gu4,58
申,shen1,58
碎,sui4,58
铺,"pu4,pu1",57
恋,lian4,57
腾,teng2,57
损,sun3,57
诗,shi1,57
讨,tao3,57
隔,ge2,57
弟,di4,57
膜,mo2,57
始,shi3,57
饼,bing3,57
尊,zun1,57
浦,pu3,57
耶,ye1,57
抽,chou1,57
坚,jian1,56
繁,fan2,56
判,pan4,56
碱,jian3,56
摆,"bai3,bai5",56
频,pin2,56
买,mai3,56
攻,gong1,56
狼,lang2,56
购,gou4,56
忘,wang4,56
范,fan4,56
斜,xie2,56
缓,huan3,56
他,ta1,56
奸,jian1,56
含,han2,56
适,shi4,56
课,ke4,56
鞋,xie2,56
汗,"han4,han2",56
喷,pen1,56
纵,zong4,56
螺,luo2,56
慢,man4,56
邮,you2,56
垂,chui2,56
嘉,jia1,56
蒂,di4,55
段,duan4,55
脊,ji3,55
悲,bei1,55
翼,yi4,55
辩,bian4,55
醉,zui4,55
债,zhai4,55
违,wei2,55
脂,zhi1,55
钻,zuan4,55
寻,xun2,55
阵,zhen4,55
氯,lu:4,55
浅,qian3,55
窗,chuang1,55
挑,tiao1,54
冒,mao4,54
账,zhang4,54
壳,ke2,54
只,zhi1,54
凉,liang2,54
粮,liang2,54
振,zhen4,54
稳,wen3,54
忍,ren3,54
凶,xiong1,54
醇,chun2,54
阶,jie1,54
禄,lu4,54
吐,tu3,54
涂,tu2,54
菲,fei1,54
疾,ji2,54
缘,yuan2,54
刚,gang1,54
戒,jie4,54
巧,qiao3,54
寄,ji4,54
坑,keng1,53
堆,dui1,53
荷,"he4,he5",53
鸣,ming2,53
怕,pa4,53
盆,pen2,53
柏,bo2,53
熊,xiong2,53
副,fu4,53
溜,liu1,53
侧,ce4,53
链,lian4,53
束,shu4,53
答,da2,52
粒,li4,52
督,du1,52
卜,bu3,52
插,cha1,52
钩,gou1,52
臣,chen2,52
胎,tai1,52
饮,yin3,52
伴,ban4,52
滴,di1,52
沟,gou1,52
漏,lou4,52
币,bi4,52
兽,shou4,52
旁,pang2,51
枝,zhi1,51
婆,po2,51
贴,tie1,51
锡,xi1,51
扶,fu2,51
暖,nuan3,51
尿,niao4,51
犬,quan3,51
企,qi3,51
燕,yan4,51
铜,tong2,51
占,zhan4,51
释,shi4,51
雀,que4,51
淡,dan4,51
喀,ka1,51
墙,qiang2,51
驾,jia4,51
赖,lai4,51
黎,li2,51
储,chu3,51
签,qian1,50
臭,chou4,50
杯,bei1,50
缝,feng4,50
珍,zhen1,50
券,quan4,50
屋,wu1,50
锁,suo3,50
诚,cheng2,50
启,qi3,50
瓶,ping2,50
楚,chu3,50
炉,lu2,50
健,jian4,50
饰,shi4,50
袋,dai4,50
郎,lang2,50
污,wu1,50
弃,qi4,50
卢,lu2,50
剑,jian4,50
尘,chen2,50
按,an4,49
耐,nai4,49
闹,nao4,49
腿,tui3,49
腰,yao1,49
昏,hun1,49
摇,yao2,49
诉,su4,49
街,jie1,49
朱,zhu1,49
偶,ou3,49
恨,hen4,49
档,dang4,49
踏,ta4,49
屏,ping2,49
飘,piao1,49
壮,zhuang4,49
祸,huo4,49
贤,xian2,49
氨,an1,49
裤,ku4,49
刘,liu2,49
卧,wo4,49
韵,yun4,48
雾,wu4,48
豪,hao2,48
究,jiu1,48
坡,po1,48
殖,"zhi2,shi5",48
裁,cai2,48
诸,zhu1,48
岸,an4,48
厅,ting1,48
似,si4,48
患,huan4,48
猪,zhu1,48
箭,jian4,48
舰,jian4,48
帽,mao4,48
偷,tou1,47
奔,ben1,47
魂,hun2,47
潭,tan2,47
给,gei3,47
么,me5,47
邻,lin2,47
蜂,feng1,47
已,yi3,47
甜,tian2,47
扫,sao3,47
孝,xiao4,47
训,xun4,47
浆,jiang1,47
毫,hao2,47
被,bei4,47
柱,zhu4,47
滨,bin1,47
淫,yin2,47
衡,heng2,46
尚,shang4,46
蓬,peng2,46
梯,ti1,46
牵,qian1,46
赞,zan4,46
抱,bao4,46
扑,pu1,46
戴,dai4,46
继,ji4,46
订,ding4,46
辣,la4,46
锦,jin3,46
帐,zhang4,46
灌,guan4,46
娃,wa2,46
沃,wo4,46
秦,qin2,46
贼,zei2,46
睡,shui4,45
捷,jie2,45
陷,xian4,45
垫,dian4,45
昂,ang2,45
润,run4,45
凝,ning2,45
恒,heng2,45
厌,yan4,45
悬,xuan2,45
覆,fu4,45
莲,lian2,45
阻,zu3,45
岳,yue4,45
寺,si4,45
鹤,he4,45
抵,di3,45
拟,ni3,45
妙,miao4,44
冈,gang1,44
棉,mian2,44
捕,bu3,44
戈,ge1,44
纹,wen2,44
锋,feng1,44
摸,mo1,44
苍,cang1,44
贺,he4,44
帮,bang1,44
颠,dian1,44
腔,qiang1,44
茅,mao2,44
让,rang4,44
猛,meng3,44
吞,tun1,44
颜,yan2,44
递,di4,44
逐,zhu2,44
译,yi4,44
湿,shi1,44
凡,fan2,44
忧,you1,44
岁,sui4,44
勃,bo2,44
丙,bing3,44
芦,lu5,44
障,zhang4,43
烂,lan4,43
替,ti4,43
迎,ying2,43
挥,hui1,43
鼎,ding3,43
雕,diao1,43
丑,chou3,43
漫,man4,43
柴,chai2,43
乔,qiao2,43
炼,lian4,43
饱,bao3,43
渡,du4,43
逊,xun4,43
洁,jie2,43
碳,tan4,43
姑,gu1,43
冤,yuan1,43
摄,she4,43
粘,"nian2,zhan1",42
挨,ai2,42
授,shou4,42
纯,chun2,42
绕,rao4,42
叹,tan4,42
桂,gui4,42
俭,jian3,42
练,lian4,42
租,zu1,42
仓,cang1,42
茨,ci2,42
狮,shi1,42
崇,chong2,42
滋,zi1,42
媒,mei2,42
绵,mian2,42
怨,yuan4,42
找,zhao3,42
迫,po4,42
慈,ci2,42
邪,xie2,42
须,xu1,42
陶,tao2,42
番,fan1,42
凯,kai3,42
秘,mi4,42
倍,bei4,42
霸,ba4,42
哭,ku1,42
栈,zhan4,42
困,kun4,42
羽,yu3,41
撞,zhuang4,41
肚,du4,41
售,shou4,41
肺,fei4,41
盗,dao4,41
坎,kan3,41
弥,mi2,41
孟,meng4,41
孜,zi1,41
贡,gong4,41
扯,che3,41
屈,qu1,41
净,jing4,41
籍,ji2,41
浴,yu4,41
迁,qian1,41
猎,lie4,41
渊,yuan1,41
跟,gen1,41
跌,die1,41
这,zhe4,41
泪,lei4,41
确,que4,41
氢,qing1,41
抓,zhua1,41
毕,bi4,41
摊,tan1,41
屯,tun2,40
忠,zhong1,40
咸,xian2,40
磷,lin2,40
擦,ca1,40
膏,gao1,40
剪,jian3,40
贪,tan1,40
兄,xiong1,40
奏,zou4,40
趣,qu4,40
奴,nu2,40
弯,wan1,40
瑟,se4,40
筋,jin1,40
牧,mu4,40
寡,gua3,40
钉,ding1,40
犹,you2,40
岗,gang3,40
逼,bi1,40
勾,gou1,39
夺,duo2,39
纽,niu3,39
苯,ben3,39
劫,jie2,39
墓,mu4,39
佩,pei4,39
爽,shuang3,39
仇,chou2,39
幸,xing4,39
仰,yang3,39
徐,xu2,39
貌,mao4,39
汁,zhi1,39
霉,mei2,39
砂,sha1,39
酱,jiang4,39
泛,fan4,39
培,pei2,39
述,shu4,39
饶,rao2,39
拨,bo1,38
筹,chou2,38
遇,yu4,38
芬,fen1,38
晋,jin4,38
肿,zhong3,38
亭,ting2,38
